,,Size,Original_Mean,Pix_min,Pix_max,PixelNum Mask,Mean,Median,Minimum,Maximum,Variance,Skewness,Kurtosis,Energy,Entropy,IDM,Contrast,Correlation,Percentage,Type
11,out/11LabelMapVolume_8out.nrrd,"(512, 512, 1)",78.86687088,0,1349,941,92.00743889,92,64,124,110.7108905,0.028504949,2.830486822,0.42152672,1.792197829,0.90406217,0.19187566,0.617656138,1.211553023,Normal
12,out/12LabelMapVolume_1out.nrrd,"(512, 512, 1)",180.3893356,0,1733,992,172.6582661,174,121,238,284.4245486,-0.150318476,3.345924827,0.237376471,2.542801993,0.863388143,0.273862692,0.733256006,4.869856604,Normal
12,out/12LabelMapVolume_2out.nrrd,"(512, 512, 1)",180.3893356,0,1733,990,145.6040404,145,95,218,327.9139231,0.35263109,3.632171052,0.224446897,2.718740697,0.850116567,0.306155434,0.73544318,0.706208951,Normal
12,out/12LabelMapVolume_3out.nrrd,"(512, 512, 1)",180.3893356,0,1733,993,209.9305136,210,158,253,189.3254838,0.024914066,3.449214922,0.344056432,2.19940645,0.881352518,0.242389287,0.65940833,0.806107672,Normal
12,out/12LabelMapVolume_4out.nrrd,"(512, 512, 1)",180.3893356,0,1733,992,241.421371,242,192,305,322.7881723,0.207262761,2.682515258,0.177062987,2.873767636,0.824632616,0.366666388,0.711702688,0.394711969,Normal
12,out/12LabelMapVolume_5out.nrrd,"(512, 512, 1)",180.3893356,0,1733,990,180.2454545,182,115,216,247.5084389,-0.767556345,3.831207984,0.286900445,2.441476345,0.853259253,0.299238423,0.661959767,0.790916338,Normal
12,out/12LabelMapVolume_6out.nrrd,"(512, 512, 1)",180.3893356,0,1733,991,211.1099899,212,170,248,186.9757932,-0.376378814,3.072402638,0.289091566,2.387624359,0.846635471,0.31184088,0.598937261,0.732230142,Normal
12,out/12LabelMapVolume_7out.nrrd,"(512, 512, 1)",180.3893356,0,1733,991,216.0322906,213,179,264,329.2280189,0.457479387,2.408760021,0.223332271,2.641062181,0.866243427,0.267513146,0.778212013,0.163329335,Normal
12,out/12LabelMapVolume_8out.nrrd,"(512, 512, 1)",180.3893356,0,1733,991,238.4117053,236,188,305,387.3602666,0.289743274,2.610930511,0.188685455,2.83370314,0.849477593,0.304242427,0.775108859,0.230672562,Normal
13,out/13LabelMapVolume_1out.nrrd,"(512, 512, 1)",225.0216103,0,2905,899,187.4627364,182,82,285,1998.960514,0.150413753,1.978386761,0.064093868,4.313519672,0.765985934,0.539955046,0.916716858,3.466730213,Normal
13,out/13LabelMapVolume_2out.nrrd,"(512, 512, 1)",225.0216103,0,2905,898,262.0812918,262,148,339,1046.054639,-0.228688728,2.804786393,0.095151937,3.820500932,0.78436648,0.476381918,0.858134289,1.492172664,Normal
13,out/13LabelMapVolume_3out.nrrd,"(512, 512, 1)",225.0216103,0,2905,900,216.7588889,218,133,296,514.3296432,-0.267126398,3.477874773,0.14687019,3.286620392,0.793318827,0.456293746,0.743144789,1.889920719,Normal
13,out/13LabelMapVolume_4out.nrrd,"(512, 512, 1)",225.0216103,0,2905,898,254.674833,257,128,323,600.8809034,-1.026350413,6.203711584,0.163224284,3.217944667,0.805518369,0.443903075,0.765672499,2.326978802,Normal
13,out/13LabelMapVolume_5out.nrrd,"(512, 512, 1)",225.0216103,0,2905,898,207.7060134,209,140,251,338.1652422,-0.395044499,3.066726854,0.195487256,2.835501287,0.820507018,0.377345297,0.676482025,2.562943068,Normal
13,out/13LabelMapVolume_6out.nrrd,"(512, 512, 1)",225.0216103,0,2905,899,250.2157953,250,190,317,531.003488,0.092988742,2.525945518,0.133067395,3.302585948,0.797524986,0.432410812,0.766897249,1.818903035,Normal
13,out/13LabelMapVolume_7out.nrrd,"(512, 512, 1)",225.0216103,0,2905,898,198.188196,200,122,238,391.0703729,-0.66716402,3.638609193,0.16980443,3.07395308,0.78860764,0.465823729,0.671950325,1.786583111,Normal
13,out/13LabelMapVolume_8out.nrrd,"(512, 512, 1)",225.0216103,0,2905,900,164.7022222,174,62,223,1040.851328,-1.093376158,3.552195563,0.13462395,3.562544657,0.796834613,0.44504053,0.87451378,2.601831441,Normal
14,out/14LabelMapVolume_1out.nrrd,"(512, 512, 1)",123.2140388,0,1117,496,168.9798387,170,118,198,247.8907226,-0.547223358,3.187850571,0.267458116,2.33180707,0.871488087,0.258331016,0.709005686,0.390464447,Normal
14,out/14LabelMapVolume_2out.nrrd,"(512, 512, 1)",123.2140388,0,1117,494,210.8319838,209,167,260,243.2167098,0.208866403,2.579746631,0.24872781,2.418901008,0.868430773,0.263138454,0.709957522,1.937263484,Normal
14,out/14LabelMapVolume_3out.nrrd,"(512, 512, 1)",123.2140388,0,1117,496,140.1814516,140,115,166,77.71707531,-0.091860516,2.897841813,0.576837385,1.39161138,0.917242039,0.165515923,0.474680628,0.706449117,Normal
14,out/14LabelMapVolume_4out.nrrd,"(512, 512, 1)",123.2140388,0,1117,497,173.0623742,171,147,210,166.2999324,0.199112224,2.188302236,0.363543643,1.831046959,0.922816856,0.154366288,0.741360066,2.715300546,Normal
14,out/14LabelMapVolume_5out.nrrd,"(512, 512, 1)",123.2140388,0,1117,493,129.8701826,130,108,152,64.2630663,-0.125542085,2.558240316,0.431408407,1.599296347,0.892564404,0.214871192,0.474496243,1.10296143,Normal
14,out/14LabelMapVolume_6out.nrrd,"(512, 512, 1)",123.2140388,0,1117,497,124.9979879,125,103,150,72.53721929,0.204931631,2.702925711,0.320828172,1.810501033,0.881659628,0.236680744,0.534507664,0.688011867,Normal
14,out/14LabelMapVolume_7out.nrrd,"(512, 512, 1)",123.2140388,0,1117,496,154.6370968,157,107,188,246.6424948,-0.598808206,2.961515295,0.319392368,2.272039728,0.894304223,0.211391554,0.766308784,1.414486707,Normal
14,out/14LabelMapVolume_8out.nrrd,"(512, 512, 1)",123.2140388,0,1117,495,118.6363636,119,94,139,61.60514233,-0.155536496,3.405010902,0.501133316,1.517116396,0.909218722,0.181562555,0.51633977,1.199323304,Normal
15,out/15LabelMapVolume_1out.nrrd,"(256, 256, 1)",88.64141846,0,962,305,172.1967213,172,125,214,205.0104811,-0.034853728,2.876996327,0.237913015,2.485341712,0.826606464,0.372751555,0.524645447,21.7332078,Grasa
15,out/15LabelMapVolume_2out.nrrd,"(256, 256, 1)",88.64141846,0,962,306,207.9771242,207,119,256,381.5648362,-0.379219811,4.602706746,0.173902587,2.934685301,0.800111787,0.423481538,0.661441555,17.61544664,Grasa
15,out/15LabelMapVolume_3out.nrrd,"(256, 256, 1)",88.64141846,0,962,304,223.8585526,221,182,281,444.8648611,0.421378043,2.549962117,0.171753442,3.023258467,0.821081272,0.375168648,0.758001413,15.60585901,Grasa
